video_name,answer,question
v_UvOEuhS0V3E,"The woman in the first clip is wearing a white top and applying lipstick in a well-lit room in front of a mirror. The man in the next clip is sitting in front of the same mirror, wearing an olive T-shirt. He removes something from a box and wipes them on his eyebrows one at a time, before eating them.",Can you describe the location and activity of the man in the next clip?
v_JspVuT6rsLA,The boy is playing the violin in a well-lit room with two pianos at his back and a woman playing one of the pianos.,What is the instrument the boy is playing in the video?
v_4Gx_8vuxzAk,The woman is using wood polish and a towel to clean the coffee table.,What is the woman using to clean the coffee table in the video?
v_4oi6dXfpJS4,The gymnast is wearing a pink outfit when she mounts the balance beam.,What outfit is the gymnast wearing when she mounts the balance beam?
v_j6OcN4OQZVM,The breakdancers in the video are wearing black outfits.,What is the color of the outfits worn by the breakdancers in the video?
v_Il9Ara3IqeY,"The man is standing on an elevated section of Marble Bridge, playing a flute. He is wearing a black polo shirt and a rice hat. The Palace Museum can be seen at his back. People are walking around Meridian Gate Square, some of whom are walking under an umbrella. He continues playing the flute until the end of the video.",Can you describe the scene and activity of the man on Marble Bridge during daytime?
v_wjr5M-6qEWI,"The referee is sitting behind a table at the edge of the court, and there are seats for spectators near the walls.",Can you describe the seating arrangement in the arena?
v_W4mJsJGa0CY,The man loses balance and slips to the floor during his routine.,Does the man experience any difficulty while performing on the pommel horse?
v_wcxEkMoOmBk,"Julie, wearing a green sweater, is introduced first in the video while speaking to the camera in a well-lit hair salon, with a round table-top swivel mirror next to her and another woman seated next to her.","Who is introduced first in the video, and what is she wearing?"
v_sbnF7VVeopM,The person in the chef uniform is washing dishes over a well-lit counter using steel wool and handheld kitchen faucet sprayer to rinse them.,What activity is the person in the chef uniform performing?
v_WOUkPgHtt4E,"The boy is wearing a white vest and dark blue shorts and is performing different maneuvers on the armbar in a gymnasium with cream color walls, blue mattresses on the floor, windows on the left side, armbars, balance beams, a small wall clock on the left side, trophies kept on the edge of the window and other children practicing around him.",Can you describe the scene in the gymnasium with the boy practicing on the armbar?
v_TZOhIMjwEE8,"The woman is wearing a white vest, grey trousers, and white sports shoes while lawn-mowing.",Can you describe the lawn-mowing outfit of the woman in the video?
v_qU4GmCN2e1Y,The man performing on the parallel bars is wearing a dark blue vest and pants.,Can you describe the clothing worn by the man performing on the parallel bars?
v_mLFjww64sX8,The barber is using a blade on the customer's head while standing on the left of the customer.,Where is the barber standing in relation to the customer?
